word,hyphenation,tune
agevole,a-gé-vo-le,"[False, True, False, False]"
agevolemente,a-ge-vo-le-mén-te,"[False, False, False, False, True, False]"
agevolezze,a-ge-vo-lez-ze,
agghiaccia,ag-ghiac-cia,
aggi,ag-gi,
aggia,ag-gia,
aggiate,ag-gia-te,
aggie,ag-gie,
aggiorno,ag-gior-no,
aggirammo,ag-gi-ram-mo,
aggirata,ag-gi-rà-ta,"[False, False, True, False]"
aggiunsi,ag-giun-si,
aggiunto,ag-giùn-to,"[False, True, False]"
aggrappossi,ag-grap-pos-si,
aggrati,ag-gra-ti,
aggrava,ag-gra-va,
aggroppata,ag-grop-pa-ta,
aggroppate,ag-grop-pa-te,
agguati,ag-gua-ti,
agi,AGI,[False]
agiata,a-gia-ta,
agio,à-gio,"[True, False]"
aglauro,a-gla-u-ro,
agli,à-gli,"[True, False]"
aglio,à-glio,"[True, False]"
agnel,a-gnel,
agnello,a-gnèl-lo,"[False, True, False]"
agni,à-gni,"[True, False]"
agno,à-gno,"[True, False]"
agnol,a-gnol,
agnus,a-gnus,
agogna,a-go-gna,
agosta,a-go-sta,
agra,à-gra,"[True, False]"
agrada,a-gra-da,
agresta,a-grè-sta,"[False, True, False]"
agro,à-gro,"[True, False]"
agrume,a-grù-me,"[False, True, False]"
aguglia,a-gù-glia,"[False, True, False]"
aguglier,a-gu-glier,
agurarsi,a-gu-rar-si,
aguta,a-gu-ta,
agute,a-gu-te,
aguti,a-gù-ti,"[False, True, False]"
aguto,a-gù-to,"[False, True, False]"
aguzza,a-guz-za,
aguzzavan,a-guz-za-van,
aguzzeranno,a-guz-ze-ran-no,
aguzzo,a-gùz-zo,"[False, True, False]"
ahi,à-hi,"[True, False]"
ahim,a-him,
aina,ai-na,
aire,ài-re,"[True, False]"
aita,a-ì-ta,"[False, True, False]"
aitare,ai-tà-re,"[False, True, False]"
aiuola,a-iuò-la,"[False, True, False]"
aiut,a-iut,
aiuta,a-iu-ta,
aiutami,a-iu-ta-mi,
aiutan,a-iu-tan,
aiutarla,a-iu-ta-rla,
aiutarlo,a-iu-ta-rlo,
aiutarm,a-iu-tar-m,
aiutarmi,a-iu-tar-mi,
aiutarti,a-iu-tar-ti,
aiutata,a-iu-ta-ta,
aiutatemi,a-iu-ta-te-mi,
aiutato,a-iu-tà-to,"[False, False, True, False]"
aiuti,a-iu-ti,
aiutino,a-iu-ti-no,
aiuto,a-iù-to,"[False, True, False]"
aiutorio,a-iu-tò-rio,"[False, False, True, False]"
ala,à-la,"[True, False]"
alabastro,a-la-bà-stro,"[False, False, True, False]"
alagia,a-la-gia,
alagna,a-la-gna,
alardo,a-lar-do,
alattata,a-lat-ta-ta,
alavorio,a-la-vo-rio,
alba,àl-ba,"[True, False]"
alber,al-ber,
alberga,al-ber-ga,
albergan,al-ber-gan,
albergo,al-bèr-go,"[False, True, False]"
alberi,al-be-ri,
alberichi,al-be-ri-chi,
alberigo,al-be-ri-go,
albero,àl-be-ro,"[True, False, False]"
alberto,Al-bèr-to,"[False, True, False]"
albia,al-bia,
albori,al-bo-ri,
alcide,àl-ci-de,"[True, False, False]"
alcun,al-cùn,"[False, True]"
alcuna,al-cu-na,
alcunarte,al-cu-nar-te,
alcuni,al-cù-ni,"[False, True, False]"
alcuno,al-cù-no,"[False, True, False]"
aldobrandesco,al-do-bran-de-sco,
aldobrandi,al-do-bran-di,
ale,à-le,"[True, False]"
alementi,a-le-men-ti,
